Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
64,"Amendola, Danny",DET,@JAC,WR,5.4,0.5,3.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.0,0.0,0.0,0.4,7.3
65,"Stills, Kenny",HOU,@TEN,WR,3.5,0.1,2.4,34.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.2
66,"Green, A.J.",CIN,@IND,WR,4.0,0.3,3.0,33.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.4,7.2
67,"Ford, Isaiah",NEP,DEN,WR,5.0,0.5,3.4,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1,7.1
68,"Taylor, Malik",GBP,@TBB,WR,4.0,0.2,3.0,33.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,6.8
69,"Fulgham, Travis",PHI,BAL,WR,4.0,0.4,1.9,31.0,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.3,6.6
70,"Ward, Greg",PHI,BAL,WR,4.2,0.6,2.9,26.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.4,6.6
71,"Inman, Dontrelle",WAS,@NYG,WR,3.8,0.4,2.6,25.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.3,6.5
72,"Raymond, Kalif",TEN,HOU,WR,2.8,0.1,2.2,30.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,3.0,8.0,0.0,0.2,6.1
73,"Bourne, Kendrick",SFO,LAR,WR,3.3,0.3,2.0,29.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.0
74,"Snead, Willie",BAL,@PHI,WR,3.4,0.3,2.3,23.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,6.0
75,"Johnson, Marcus",IND,CIN,WR,3.4,0.3,2.2,29.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.3,5.6
76,"Berrios, Braxton",NYJ,@MIA,WR,4.3,0.6,2.4,24.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.3,5.5
77,"Zaccheaus, Olamide",ATL,@MIN,WR,3.6,0.3,2.2,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1,5.1
78,"Robinson, Demarcus",KCC,@BUF,WR,3.0,0.2,2.1,25.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,0.2,5.0
79,"Davis, Gabriel",BUF,KCC,WR,2.5,0.4,1.5,20.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.4,4.9
80,"Wilson, Cedrick",DAL,ARI,WR,2.5,0.3,1.7,20.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.6,4.7
81,"Isabella, Andy",ARI,@DAL,WR,1.8,0.2,1.3,21.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.0,0.0,0.3,4.6
82,"Board, C.J.",NYG,WAS,WR,3.2,0.4,2.1,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.2,4.4
83,"Higgins, Rashard",CLE,@PIT,WR,2.0,0.4,1.2,18.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.4,4.4
84,"Boykin, Miles",BAL,@PHI,WR,2.4,0.2,1.5,18.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,4.1
85,"McKenzie, Isaiah",BUF,KCC,WR,2.3,0.3,1.8,15.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.1,4.0
86,"Ross, John",CIN,@IND,WR,3.3,0.3,1.6,22.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.1,0.1,4.0
87,"Patterson, Cordarrelle",CHI,@CAR,WR,2.8,0.3,1.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,42.0,0.0,0.3,4.0
88,"Johnson, KeeSean",ARI,@DAL,WR,3.3,0.2,1.7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.1,3.7
89,"Watson, Justin",TBB,GBP,WR,2.4,0.1,1.4,17.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,4.0,0.0,0.1,3.6
90,"Johnson, Olabisi",MIN,ATL,WR,1.9,0.2,1.3,18.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.5
91,"Grant, Jakeem",MIA,NYJ,WR,2.5,0.0,1.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,21.0,0.0,0.0,3.3
92,"Mooney, Darnell",CHI,@CAR,WR,2.7,0.1,1.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.1,3.1
93,"Spencer, Diontae",DEN,@NEP,WR,3.0,0.3,1.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.1,3.1
