Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
110,"Erickson, Alex",CIN,DEN,WR,1.1,0.1,0.8,11.1,0.,0.,0.,0.,0.,0.,0.,0.5,0.,12.6,40.5,0.,0.1,1.4
111,"Valdes-Scantling, Marquez",GBP,ARZ,WR,1.8,0.2,1.1,8.7,0.,0.,0.,0.,0.,0.,0.,2.5,0.,0.,7.8,0.,0.1,1.4
112,"Byrd, Damiere",CAR,@TBB,WR,1.4,0.2,0.9,11.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.9,26.8,0.,0.2,1.3
113,"Snead, Willie",BAL,@ATL,WR,2.4,0.2,1.2,12.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.4,3.3,0.,0.1,1.3
114,"Taylor, Jordan",DEN,@CIN,WR,1.6,0.1,0.9,12.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.9,2.1,0.,0.1,1.3
115,"Treadwell, Laquon",MIN,@NEP,WR,2.6,0.1,1.3,13.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,3.4,0.,0.1,1.3
116,"King, Tavarres",MIN,@NEP,WR,1.5,0.1,0.7,8.3,0.1,0.,0.,0.,0.,0.,0.,0.2,0.,0.,0.,0.,0.1,1.3
117,"Rogers, Eli",PIT,LAC,WR,2.3,0.5,1.2,10.2,0.,0.,0.,0.,0.,0.,0.,0.1,0.,7.5,0.,0.,0.2,1.3
118,"Robinson, Demarcus",KCC,@OAK,WR,1.9,0.3,1.,11.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.6,0.,0.1,1.2
119,"Wright, Jarius",CAR,@TBB,WR,2.8,0.3,1.3,12.2,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.9,1.9,0.,0.1,1.2
120,"Lewis, Tommylee",NOR,@DAL,WR,1.1,0.2,0.7,8.1,0.1,0.,0.,0.,0.,0.,0.,0.3,0.,0.2,8.5,0.,0.1,1.2
121,"Hunter, Justin",PIT,LAC,WR,1.5,0.2,0.7,8.3,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.4,1.6,0.,0.2,1.1
122,"Bourne, Kendrick",SFO,@SEA,WR,2.,0.4,0.8,10.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,9.4,0.,0.2,1.
123,"Austin, Tavon",DAL,NOR,WR,1.2,0.,0.5,2.3,0.,0.,0.,0.,0.,0.,0.,9.1,0.,3.,3.9,0.1,0.1,1.
124,"Kirk, Christian",ARZ,@GBP,WR,2.2,0.,0.8,10.6,0.,0.,0.,0.,0.,0.,0.,0.6,0.,3.,8.2,0.1,0.,1.
125,"Pryor, Terrelle",NYJ,@TEN,WR,1.6,0.2,0.8,7.7,0.,0.,0.,0.,0.,0.,0.,1.5,0.,0.2,9.9,0.,0.1,0.9
126,"Reynolds, Josh",LAR,@DET,WR,1.7,0.4,0.8,6.9,0.,0.,0.,0.,0.,0.,0.,2.7,0.,1.6,5.7,0.1,0.3,0.9
127,"Thomas, De'Anthony",KCC,@OAK,WR,0.6,0.1,0.5,4.2,0.1,0.,0.,0.,0.,0.,0.,0.9,0.,0.8,21.3,0.,0.1,0.8
128,"Grant, Jakeem",MIA,BUF,WR,0.4,0.,0.3,5.1,0.1,0.,0.,0.,0.,0.,0.,0.2,0.,7.7,22.7,0.1,0.1,0.8
129,"Heyward-Bey, Darrius",PIT,LAC,WR,0.5,0.2,0.2,3.6,0.,0.,0.,0.,0.,0.,0.,0.6,0.,0.,0.4,0.,0.2,0.8
130,"Pettis, Dante",SFO,@SEA,WR,1.6,0.,0.8,8.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.5,0.,0.,0.,0.7
131,"Peake, Charone",NYJ,@TEN,WR,1.6,0.1,0.7,7.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.7
132,"Quinn, Trey",WAS,@PHI,WR,1.7,0.3,0.8,6.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.7,0.,0.2,0.7
133,"Shepard, Russell",NYG,CHI,WR,1.6,0.2,0.7,6.5,0.,0.,0.,0.,0.,0.,0.,0.2,0.,2.4,10.2,0.,0.1,0.7
134,"Holton, Johnny",OAK,KCC,WR,0.8,0.,0.3,6.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.1,0.2,0.6
135,"Hamilton, DaeSean",DEN,@CIN,WR,1.8,0.2,0.8,6.6,0.,0.,0.,0.,0.,0.,0.,0.1,0.,4.5,5.3,0.,0.2,0.6
136,"Malone, Josh",CIN,DEN,WR,1.3,0.1,0.6,4.9,0.,0.,0.,0.,0.,0.,0.,0.3,0.,2.8,11.1,0.,0.,0.6
137,"Samuel, Curtis",CAR,@TBB,WR,1.6,0.1,0.7,4.9,0.,0.,0.,0.,0.,0.,0.,1.4,0.,1.2,6.1,0.1,0.,0.5
138,"Core, Cody",CIN,DEN,WR,0.9,0.,0.5,5.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,1.5,0.,0.,0.5
139,"Cooper, Pharoh",LAR,@DET,WR,1.2,0.1,0.6,5.1,0.,0.,0.,0.,0.,0.,0.,0.2,0.,21.6,42.6,0.,0.1,0.5
140,"Stewart, ArDarius",NYJ,@TEN,WR,0.8,0.1,0.4,3.2,0.,0.,0.,0.,0.,0.,0.,1.5,0.,0.,12.2,0.,0.1,0.5
141,"Coley, Stacy",MIN,@NEP,WR,1.,0.1,0.5,4.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,1.7,0.,0.1,0.4
