"Rank","Player","Team","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
93,"Line, Zach","NOS","RB",10.,53.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,7.7,4.5,2.4,5.,1.2,0.,0.,0.,15.,0.,3.1,13.
94,"Williams, Darrel","KCC","RB",15.6,42.,0.9,0.9,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,2.1,0.6,1.7,17.,0.2,0.1,0.,0.,99.,0.,1.5,12.9
95,"Foster, D.J.","ARZ","RB",10.3,29.,0.3,0.3,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,14.3,1.8,9.6,79.,0.,0.3,0.2,0.,100.,0.,1.2,12.7
96,"Armah, Alexander","CAR","RB",7.7,14.,1.3,1.3,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,3.4,9.3
97,"Janovich, Andy","DEN","RB",1.9,5.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,6.9,0.2,5.1,74.,0.2,0.3,0.1,0.,8.,0.,0.2,9.3
98,"Ogunbowale, Dare","TBB","RB",21.8,65.,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,7.7,2.2,4.7,26.,0.,0.1,0.1,0.,327.,0.,0.8,9.1
99,"Scarlett, Jordan","CAR","RB",30.1,83.,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,2.8,1.5,2.,8.,0.,0.,0.,6.,93.,0.4,2.8,8.3
100,"Williams, Dexter","GBP","RB",24.7,76.,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,8.5,1.5,3.4,19.,0.,0.1,0.,0.,134.,0.6,1.6,8.3
101,"Walton, Mark","MIA","RB",7.4,27.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,6.9,1.3,5.7,22.,0.8,0.1,0.,0.,24.,0.8,1.6,8.2
102,"Penny, Elijhaa","NYG","RB",6.7,24.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,8.4,0.9,7.5,47.,0.,0.2,0.1,0.,-2.7,0.,0.,7.1
103,"Johnson, D'Ernest","CLE","RB",1.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,9.4,0.,6.5,65.,0.,0.3,0.1,0.,235.,0.,0.,6.8
104,"Abdullah, Ameer","MIN","RB",13.7,30.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,9.3,1.1,6.9,52.,0.,0.2,0.1,0.,363.,0.8,0.,6.7
105,"Williams, Trayveon","CIN","RB",15.8,50.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,2.4,0.,2.4,10.,0.,0.,0.,0.,0.,0.,0.,6.1
106,"Ham, C.J.","MIN","RB",4.4,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,9.6,0.,6.,41.,0.,0.2,0.1,0.,0.,0.,0.9,4.4
107,"Boone, Mike","MIN","RB",10.2,37.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,5.7,0.8,2.5,3.,0.,0.,0.,0.,96.,0.,0.8,4.
108,"Barner, Kenjon","ATL","RB",7.7,25.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.7,0.,0.7,9.,0.,0.,0.,23.,144.,0.,0.,3.4
109,"Nix, Roosevelt","PIT","RB",0.9,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,3.2,0.9,1.2,19.,0.,0.1,0.,0.,11.,0.,1.7,2.3
110,"Snell Jr., Benny","PIT","RB",8.6,19.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,1.6,0.,1.6,9.,0.,0.,0.,0.,82.,0.3,0.9,2.1
111,"Wilson, Shaun","WAS","RB",2.8,13.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,28.,0.,0.,1.3
112,"Ingold, Alec","OAK","RB",4.2,7.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.2,0.4,0.9,3.,0.,0.,0.,10.,8.,0.,0.4,0.9
113,"Pope, Troymaine","LAC","RB",2.1,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6
114,"Fluellen, David","TEN","RB",2.1,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,0.,0.,0.,0.,0.,0.,0.,6.,0.,0.,0.6
115,"Gaskin, Myles","MIA","RB",5.2,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.4,0.1,0.4,1.,0.1,0.,0.,0.,93.,0.1,0.1,0.5
116,"Perry, Senorise","BUF","RB",4.7,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.2,1.,0.,0.,0.,0.,143.,0.,0.,0.5
117,"Jones, Taiwan","HOU","RB",0.2,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.4,0.,0.4,4.,0.,0.,0.,50.,137.,0.,0.,0.5
118,"Watt, Derek","LAC","RB",1.7,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.8,0.,0.8,2.,0.,0.,0.,0.,0.,0.,0.,0.4
119,"Homer, Travis","SEA","RB",9.,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.6,1.6,0.,0.,0.,0.,0.,0.,0.,0.,1.8,0.3
120,"Bawden, Nick","DET","RB",12.6,14.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,1.7,0.,1.7,8.,0.,0.,0.,0.,60.,1.,1.9,0.2
