Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
91,"Ricard, Patrick",BAL,@HOU,RB,0.1,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,3.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.6
92,"Ervin, Tyler",GBP,DET,RB,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,1.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.6
93,"Sherman, Anthony",KCC,@LAC,RB,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6
94,"Johnson, D'Ernest",CLE,CIN,RB,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.5
95,"Nall, Ryan",CHI,NYG,RB,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4
96,"Taylor, J.J.",NEP,@SEA,RB,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
97,"Bowden, Lynn",MIA,BUF,RB,0.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2
98,"McFarland, Anthony",PIT,DEN,RB,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2
99,"Howell, Buddy",HOU,BAL,RB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
100,"Cannon, Trenton",CAR,@TBB,RB,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.2
101,"Vaughn, Ke'Shawn",TBB,CAR,RB,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.1,0.1
102,"Armah, Alexander",CAR,@TBB,RB,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
103,"Watt, Derek",PIT,DEN,RB,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
104,"Bellore, Nick",SEA,NEP,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
105,"Dowdle, Rico",DAL,ATL,RB,0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"Perine, Samaje",CIN,@CLE,RB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,"Burton, Michael",NOS,@LVR,RB,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0

