Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
84,"Gaskin, Myles",MIA,RB,57.4,215.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,18.9,3.1,10.6,85.0,0.3,0.3,0.2,0.0,0.0,0.3,3.9,51.8
85,"McKinnon, Jerick",SFO,RB,63.7,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,23.1,5.1,15.6,134.0,0.0,0.5,0.3,0.0,0.0,0.4,5.4,51.4
86,"Hill, Justice",BAL,RB,48.5,192.0,1.7,1.1,0.6,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,19.7,3.2,11.1,85.0,0.0,0.3,0.2,0.0,131.0,0.0,2.9,49.0
87,"McGuire, Elijah",FA,RB,62.1,187.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.1,19.3,0.7,12.2,111.0,0.0,0.4,0.2,0.0,0.0,1.9,4.7,46.8
88,"Wilkins, Jordan",IND,RB,32.8,195.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,9.4,0.6,5.0,33.0,0.0,0.1,0.1,0.0,8.0,0.0,8.7,40.8
89,"Vaughn, Ke'Shawn",TBB,RB,58.8,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.6,0.0,1.6,7.0,0.0,0.0,0.0,224.0,366.0,0.0,2.8,37.6
90,"Davis, Mike",CAR,RB,25.4,110.0,1.2,0.3,0.6,0.0,0.0,0.0,0.3,0.4,0.2,0.1,0.0,13.8,0.9,9.7,86.0,0.0,0.3,0.2,0.0,44.0,0.0,2.7,36.5
91,"Scarbrough, Bo",SEA,RB,77.2,309.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,6.8,0.4,2.4,7.0,0.0,0.0,0.0,0.0,0.0,0.7,3.7,36.0
92,"Laird, Patrick",MIA,RB,32.9,93.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,16.9,2.0,12.8,110.0,0.0,0.4,0.2,0.0,38.0,0.0,0.4,33.8
93,"Gallman, Wayne",NYG,RB,32.8,107.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,11.9,2.7,5.8,52.0,0.2,0.2,0.1,0.0,0.0,0.2,8.5,33.0
94,"Dobbins, J.K.",BAL,RB,39.9,158.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,12.4,1.4,8.0,52.0,0.0,0.2,0.1,0.0,64.0,0.4,2.5,30.5
95,"Smith, Rod",FA,RB,24.3,83.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,10.3,1.1,9.5,69.0,0.5,0.3,0.1,-0.3,0.0,0.0,1.6,30.4
96,"Bonnafon, Reggie",CAR,RB,16.2,71.0,0.7,0.4,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.0,10.1,0.0,6.7,78.0,0.2,0.3,0.2,2.0,102.0,0.0,1.1,26.9
97,"Clement, Corey",PHI,RB,39.5,139.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,13.3,0.6,9.3,57.0,0.0,0.2,0.1,22.0,328.0,2.3,2.4,26.9
98,"Abdullah, Ameer",MIN,RB,19.9,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,13.4,0.6,8.7,55.0,0.6,0.2,0.1,0.0,431.0,0.6,0.9,26.1
99,"Ham, C.J.",MIN,RB,6.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.4,10.8,134.0,0.4,0.5,0.3,0.0,24.0,1.0,3.0,25.3
100,"Ballage, Kalen",LAC,RB,41.3,87.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,12.9,2.9,6.9,34.0,0.0,0.1,0.1,0.0,76.0,0.0,4.8,24.7
101,"Hilliard, Dontrell",CLE,RB,4.0,13.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,11.5,0.1,9.7,81.0,0.0,0.3,0.2,84.0,432.0,0.0,1.3,22.7
102,"Booker, Devontae",LVR,RB,12.7,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,11.2,1.2,9.7,78.0,0.0,0.3,0.2,-0.3,66.0,0.0,0.5,21.9
103,"Montgomery, Ty",NOS,RB,16.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,12.7,1.0,8.9,52.0,0.0,0.2,0.1,0.0,80.0,0.0,1.5,20.0
104,"Smallwood, Wendell",FA,RB,14.6,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,11.4,1.9,8.6,53.0,0.0,0.2,0.1,0.0,0.0,0.0,0.6,19.7
