Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
105,"Johnson, Dontae",SEA,MIN,DB,3.2,0.7,0.,0.2,0.1,0.,0.,0.,0.,0.,4.
106,"Mitchell, Terrance",CLE,CAR,DB,2.6,0.7,0.,0.8,0.1,0.,0.,0.,0.3,2.4,3.9
107,"Addae, Jahleel",LAC,CIN,DB,2.9,1.,0.,0.4,0.1,0.,0.,0.,0.,0.5,3.9
108,"Williams, Tramon",GBP,ATL,DB,2.8,0.5,0.,0.7,0.1,0.,0.,0.,0.,0.,3.9
109,"Robinson, Rashard",NYJ,@BUF,DB,2.7,0.7,0.,0.3,0.1,0.1,0.1,0.,0.,0.,3.8
110,"Jackson, William",CIN,@LAC,DB,2.2,0.7,0.1,1.,0.1,0.,0.,0.,0.3,0.,3.8
111,"Robinson, Patrick",NOR,@TBB,DB,2.5,0.5,0.,0.7,0.1,0.,0.,0.,0.,0.,3.8
112,"Peppers, Jabrill",CLE,CAR,DB,3.,1.,0.,0.3,0.,0.,0.,0.,10.,14.2,3.8
113,"Diggs, Quandre",DET,@ARZ,DB,2.6,0.7,0.1,0.4,0.1,0.,0.,0.,0.,0.,3.7
114,"Howard, Xavien",MIA,NEP,DB,2.6,0.5,0.1,0.5,0.1,0.,0.,0.,0.,0.,3.7
115,"Bell, Vonn",NOR,@TBB,DB,2.8,1.,0.2,0.2,0.,0.1,0.,0.,0.,0.,3.7
116,"Smith, Jimmy",BAL,@KCC,DB,2.8,0.2,0.,0.5,0.1,0.,0.,0.,0.,0.,3.7
117,"Johnson, Trumaine",NYJ,@BUF,DB,2.7,0.3,0.,0.6,0.1,0.1,0.,0.,0.,0.,3.7
118,"Boston, Tre",ARZ,DET,DB,2.5,1.,0.,0.4,0.2,0.,0.,0.,0.3,0.,3.6
119,"Douglas, Rasul",PHI,@DAL,DB,2.2,0.5,0.,0.9,0.1,0.,0.,0.,0.,0.,3.6
120,"Simmons, Justin",DEN,@SFO,DB,2.3,0.8,0.,0.4,0.2,0.,0.,0.,0.,0.,3.6
121,"Conley, Gareon",OAK,PIT,DB,2.7,0.7,0.,0.4,0.,0.,0.,0.,0.2,0.,3.6
122,"Davis, Vontae",BUF,NYJ,DB,2.5,0.9,0.,0.5,0.1,0.,0.,0.,0.,0.,3.6
123,"Randall, Damarious",CLE,CAR,DB,2.6,0.5,0.,0.4,0.1,0.,0.,0.,1.2,3.4,3.6
124,"Branch, Tyvon",ARZ,DET,DB,2.6,0.8,0.,0.4,0.,0.,0.,0.,0.9,0.,3.5
125,"Peterson, Patrick",ARZ,DET,DB,2.6,0.5,0.,0.5,0.1,0.,0.,0.,4.6,0.4,3.5
126,"Gipson, Tashaun",JAC,@TEN,DB,2.6,0.6,0.,0.4,0.1,0.,0.,0.,0.,0.,3.5
127,"Desir, Pierre",IND,@HOU,DB,2.2,1.1,0.,0.6,0.1,0.,0.,0.,0.,0.,3.5
128,"McCourty, Jason ",NEP,@MIA,DB,2.3,0.6,0.,0.5,0.1,0.1,0.,0.,0.,0.,3.4
129,"Everett, Deshazor",WAS,NYG,DB,2.1,1.,0.,0.5,0.1,0.1,0.,0.,0.,0.2,3.4
130,"Allen, Ricardo",ATL,@GBP,DB,2.4,1.2,0.,0.1,0.1,0.,0.,0.,0.,0.,3.4
131,"Jackson, Donte",CAR,@CLE,DB,2.5,1.1,0.,0.3,0.,0.,0.,0.,0.,0.,3.4
132,"Amukamara, Prince",CHI,LAR,DB,2.5,0.3,0.,0.5,0.,0.,0.,0.,0.2,0.,3.4
133,"Wilson, Quincy",IND,@HOU,DB,2.2,0.7,0.,0.5,0.1,0.,0.,0.,0.,0.,3.4
134,"Hal, Dre",HOU,IND,DB,2.4,1.,0.,0.2,0.1,0.1,0.,0.,0.,0.,3.3
135,"Phillips, Adrian",LAC,CIN,DB,2.4,0.6,0.,0.4,0.1,0.,0.,0.,0.,0.,3.3
136,"Lawson, Nevin",DET,@ARZ,DB,2.6,0.6,0.,0.3,0.,0.,0.,0.,1.7,0.,3.3
137,"Ward, Jimmie",SFO,DEN,DB,2.6,0.6,0.,0.2,0.,0.1,0.1,0.,0.,0.,3.3
138,"Fuller, Kendall",KCC,BAL,DB,2.3,0.6,0.,0.4,0.1,0.,0.,0.,0.,0.5,3.3
139,"Williams, Trevor",LAC,CIN,DB,2.2,0.5,0.,0.6,0.1,0.,0.,0.,0.,0.,3.3
140,"Robey, Nickell",LAR,@CHI,DB,2.3,0.6,0.,0.5,0.1,0.,0.,0.,0.,0.,3.3
141,"Coleman, Justin",SEA,MIN,DB,2.,0.9,0.1,0.6,0.1,0.,0.,0.,0.1,0.,3.3
142,"Rhodes, Xavier",MIN,@SEA,DB,2.4,0.4,0.,0.6,0.1,0.,0.,0.,0.,0.,3.3
143,"Iloka, George",MIN,@SEA,DB,2.3,1.1,0.,0.3,0.,0.,0.,0.,0.,0.,3.3
144,"Haden, Joe",PIT,@OAK,DB,2.1,0.4,0.,0.6,0.1,0.,0.,0.,0.,0.,3.2
145,"Tankersley, Cordrea",MIA,NEP,DB,2.4,0.7,0.,0.5,0.,0.,0.,0.,0.,0.,3.2
146,"Scandrick, Orlando",KCC,BAL,DB,2.7,0.6,0.,0.2,0.,0.,0.,0.,0.,0.,3.2
147,"McCain, Bobby",MIA,NEP,DB,2.,0.9,0.1,0.5,0.1,0.,0.,0.,0.,0.,3.2
