Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
57,"West, Charcandrick",KCC,@DEN,RB,6.6,22.6,0.1,0.1,0.,0.,0.,0.,0.,1.5,11.,0.1,0.,0.,0.,0.8,0.1,0.8,4.8
58,"Washington, DeAndre",OAK,@LAC,RB,5.6,29.9,0.1,0.,0.,0.1,0.,0.,0.,1.4,11.8,0.,0.,0.,1.3,3.7,0.1,0.8,4.7
59,"Oliver, Branden",LAC,OAK,RB,6.,23.4,0.1,0.1,0.,0.,0.,0.,0.,1.9,17.3,0.,0.1,0.,0.8,1.7,0.,1.3,4.6
60,"McKinnon, Jerick",MIN,CHI,RB,7.4,23.,0.1,0.1,0.,0.,0.,0.,0.,2.,13.7,0.1,0.1,0.,0.,0.,0.,0.6,4.6
61,"Blue, Alfred",HOU,@IND,RB,9.,37.,0.1,0.,0.,0.,0.,0.,0.,0.9,3.9,0.,0.,0.,0.8,2.,0.1,1.1,4.5
62,"McFadden, Darren",DAL,@PHI,RB,7.5,32.8,0.1,0.1,0.,0.,0.,0.,0.,1.1,8.3,0.,0.,0.,0.,2.9,0.1,1.6,4.4
63,"Zenner, Zach",DET,GBP,RB,5.3,20.1,0.2,0.2,0.,0.,0.,0.,0.,1.2,12.6,0.,0.1,0.,0.,6.7,0.1,0.7,4.2
64,"Richard, Jalen",OAK,@LAC,RB,4.3,22.1,0.,0.,0.,0.,0.,0.,0.,1.8,11.3,0.1,0.,0.,18.3,26.8,0.,0.3,4.1
65,"Perine, Samaje",WAS,@NYG,RB,4.6,38.7,0.,0.,0.,0.,0.,0.,0.,0.3,3.6,0.,0.,0.,0.,2.8,0.1,1.8,4.1
66,"Rawls, Thomas",SEA,ARZ,RB,6.,24.9,0.2,0.2,0.,0.,0.,0.,0.,0.5,4.2,0.,0.,0.,0.,0.,0.,1.,4.
67,"Turbin, Robert",IND,HOU,RB,3.,10.5,0.3,0.3,0.,0.,0.,0.,0.,1.3,8.8,0.1,0.,0.,0.,0.,0.,1.1,4.
