"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
18,"Jones, Chris","KCC","@CHI","DL",2.,1.1,0.7,0.3,0.,0.1,0.,0.,4.4
19,"Hunter, Danielle","MIN","GBP","DL",2.5,1.1,0.7,0.,0.,0.,0.,0.,4.4
20,"Heyward, Cameron","PIT","@NYJ","DL",2.,1.3,0.7,0.2,0.,0.1,0.1,0.,4.4
21,"Suh, Ndamukong","TBB","HOU","DL",2.6,1.2,0.4,0.3,0.,0.1,0.1,0.,4.4
22,"Dunlap, Carlos","CIN","@MIA","DL",2.1,1.,0.5,0.5,0.,0.1,0.1,0.,4.3
23,"Barnett, Derek","PHI","DAL","DL",2.,0.7,0.8,0.,0.,0.3,0.,0.,4.2
24,"Vernon, Olivier","CLE","BAL","DL",2.1,1.3,0.6,0.1,0.,0.,0.,0.,4.2
25,"Hill, B.J.","NYG","@WAS","DL",2.4,1.2,0.4,0.2,0.,0.,0.,0.,4.1
26,"Casey, Jurrell","TEN","NOS","DL",2.4,1.6,0.4,0.1,0.,0.1,0.1,0.,4.1
27,"Ingram, Melvin","LAC","OAK","DL",2.2,0.8,0.5,0.2,0.,0.1,0.1,0.,4.
28,"Bennett, Michael","NEP","BUF","DL",2.1,1.2,0.6,0.1,0.,0.1,0.,0.,4.
29,"Hicks, Akiem","CHI","KCC","DL",2.4,0.8,0.4,0.2,0.,0.1,0.1,0.,3.9
30,"Lawrence, Dexter","NYG","@WAS","DL",2.5,1.6,0.1,0.2,0.,0.1,0.,0.,3.8
31,"Allen, Zach","ARZ","@SEA","DL",2.4,0.9,0.4,0.1,0.,0.1,0.,0.,3.8
32,"Ferrell, Clelin","OAK","@LAC","DL",2.2,1.2,0.4,0.1,0.,0.1,0.,0.,3.8
33,"McKinley, Takkarist","ATL","JAC","DL",1.8,0.6,0.7,0.2,0.,0.2,0.,0.,3.8
34,"Brockers, Michael","LAR","@SFO","DL",2.4,1.6,0.2,0.2,0.,0.,0.,0.,3.8
35,"Allen, Jonathan","WAS","NYG","DL",2.,1.5,0.4,0.,0.,0.,0.,0.,3.7
36,"Gunter, Rodney","ARZ","@SEA","DL",2.4,0.9,0.3,0.1,0.,0.1,0.,0.,3.7
37,"Graham, Brandon","PHI","DAL","DL",2.1,0.6,0.5,0.2,0.,0.1,0.1,0.,3.7
38,"Winovich, Chase","NEP","BUF","DL",2.,1.4,0.4,0.1,0.,0.1,0.,0.,3.6
39,"Ngakoue, Yannick","JAC","@ATL","DL",1.8,0.3,0.7,0.1,0.,0.1,0.,0.,3.6
40,"Tuitt, Stephon","PIT","@NYJ","DL",1.9,1.1,0.4,0.3,0.,0.,0.,0.,3.6
41,"Harrison, Damon","DET","@DEN","DL",2.5,1.2,0.2,0.1,0.,0.1,0.,0.,3.6
42,"Nkemdiche, Robert","MIA","CIN","DL",1.9,1.1,0.4,0.1,0.,0.1,0.1,0.,3.5
43,"Ford, Poona","SEA","ARZ","DL",1.9,2.,0.2,0.1,0.,0.,0.,0.,3.4
44,"Ogunjobi, Larry","CLE","BAL","DL",2.2,1.3,0.3,0.,0.,0.1,0.,0.,3.4
45,"Williams, Leonard","NYJ","PIT","DL",2.,1.3,0.3,0.1,0.1,0.,0.,0.,3.4
46,"Lawrence, Demarcus","DAL","@PHI","DL",1.8,1.,0.4,0.1,0.,0.1,0.1,0.,3.4
47,"Hubbard, Sam","CIN","@MIA","DL",2.,1.,0.3,0.1,0.,0.,0.,0.,3.3
48,"Ioannidis, Matt","WAS","NYG","DL",1.9,1.,0.4,0.1,0.,0.1,0.1,0.,3.3
49,"Griffen, Everson","MIN","GBP","DL",1.9,0.9,0.4,0.1,0.,0.1,0.,0.,3.3
50,"Wise, Deatrich","NEP","BUF","DL",1.5,1.3,0.5,0.,0.,0.,0.,0.,3.2
51,"Lowry, Dean","GBP","@MIN","DL",2.,0.9,0.3,0.2,0.,0.,0.,0.,3.2
52,"Jarrett, Grady","ATL","JAC","DL",1.7,1.2,0.4,0.,0.,0.1,0.,0.,3.2
53,"Autry, Denico","IND","CAR","DL",1.7,0.9,0.4,0.2,0.,0.,0.,0.,3.2
54,"Quinn, Robert","DAL","@PHI","DL",1.8,0.9,0.4,0.,0.,0.1,0.,0.,3.2
55,"Payne, Da'Ron","WAS","NYG","DL",1.8,0.9,0.3,0.1,0.,0.1,0.1,0.,3.1
56,"Harris, Charles","MIA","CIN","DL",1.8,0.7,0.4,0.1,0.,0.1,0.,0.,3.1
57,"Sheard, Jabaal","IND","CAR","DL",2.,0.9,0.3,0.1,0.,0.,0.,0.,3.1
